ACCURACY,GRAIN,DELAY,TEXT,EXPERIMENT,TOOL
0.5562310030395137,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.49544072948328266,CORN,0,Content,1,VADER
0.5562310030395137,CORN,0,Content,1,VADER
0.5440729483282675,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.5562310030395137,CORN,0,Content,1,VADER
0.5775075987841946,CORN,0,Content,1,VADER
0.5379939209726444,CORN,0,Content,1,VADER
0.5349544072948328,CORN,0,Content,1,VADER
0.547112462006079,CORN,0,Content,1,VADER
0.49544072948328266,CORN,0,Content,1,VADER
0.5319148936170213,CORN,0,Content,1,VADER
0.5683890577507599,CORN,0,Content,1,VADER
0.5379939209726444,CORN,0,Content,1,VADER
0.5531914893617021,CORN,0,Content,1,VADER
0.5167173252279635,CORN,0,Content,1,VADER
0.45896656534954405,CORN,0,Content,1,VADER
0.5349544072948328,CORN,0,Content,1,VADER
0.5562310030395137,CORN,0,Content,1,VADER
0.5288753799392097,CORN,0,Content,1,VADER
0.5288753799392097,CORN,0,Content,1,VADER
0.574468085106383,CORN,0,Content,1,VADER
0.5562310030395137,CORN,0,Content,1,VADER
0.49544072948328266,CORN,0,Content,1,VADER
0.5167173252279635,CORN,0,Content,1,VADER
0.5714285714285714,CORN,0,Content,1,VADER
0.5227963525835866,CORN,0,Content,1,VADER
0.541033434650456,CORN,0,Content,1,VADER
0.5623100303951368,CORN,0,Content,1,VADER
0.5258358662613982,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.547112462006079,CORN,0,Content,1,VADER
0.5319148936170213,CORN,0,Content,1,VADER
0.49240121580547114,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.5075987841945289,CORN,0,Content,1,VADER
0.541033434650456,CORN,0,Content,1,VADER
0.5623100303951368,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.541033434650456,CORN,0,Content,1,VADER
0.5592705167173252,CORN,0,Content,1,VADER
0.5379939209726444,CORN,0,Content,1,VADER
0.5015197568389058,CORN,0,Content,1,VADER
0.574468085106383,CORN,0,Content,1,VADER
0.5319148936170213,CORN,0,Content,1,VADER
0.5167173252279635,CORN,0,Content,1,VADER
0.49848024316109424,CORN,0,Content,1,VADER
0.5015197568389058,CORN,0,Content,1,VADER
0.49544072948328266,CORN,0,Content,1,VADER
0.48328267477203646,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.49544072948328266,CORN,1,Content,1,VADER
0.5197568389057751,CORN,1,Content,1,VADER
0.5227963525835866,CORN,1,Content,1,VADER
0.5896656534954408,CORN,1,Content,1,VADER
0.5197568389057751,CORN,1,Content,1,VADER
0.5531914893617021,CORN,1,Content,1,VADER
0.5045592705167173,CORN,1,Content,1,VADER
0.5106382978723404,CORN,1,Content,1,VADER
0.5592705167173252,CORN,1,Content,1,VADER
0.5379939209726444,CORN,1,Content,1,VADER
0.5683890577507599,CORN,1,Content,1,VADER
0.5379939209726444,CORN,1,Content,1,VADER
0.574468085106383,CORN,1,Content,1,VADER
0.5106382978723404,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.5227963525835866,CORN,1,Content,1,VADER
0.5227963525835866,CORN,1,Content,1,VADER
0.5258358662613982,CORN,1,Content,1,VADER
0.5379939209726444,CORN,1,Content,1,VADER
0.5197568389057751,CORN,1,Content,1,VADER
0.5015197568389058,CORN,1,Content,1,VADER
0.5227963525835866,CORN,1,Content,1,VADER
0.5045592705167173,CORN,1,Content,1,VADER
0.5623100303951368,CORN,1,Content,1,VADER
0.47720364741641336,CORN,1,Content,1,VADER
0.513677811550152,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.541033434650456,CORN,1,Content,1,VADER
0.5319148936170213,CORN,1,Content,1,VADER
0.47112462006079026,CORN,1,Content,1,VADER
0.5227963525835866,CORN,1,Content,1,VADER
0.5349544072948328,CORN,1,Content,1,VADER
0.513677811550152,CORN,1,Content,1,VADER
0.5379939209726444,CORN,1,Content,1,VADER
0.5440729483282675,CORN,1,Content,1,VADER
0.5683890577507599,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.5106382978723404,CORN,1,Content,1,VADER
0.5349544072948328,CORN,1,Content,1,VADER
0.5775075987841946,CORN,1,Content,1,VADER
0.5197568389057751,CORN,1,Content,1,VADER
0.5349544072948328,CORN,1,Content,1,VADER
0.5531914893617021,CORN,1,Content,1,VADER
0.5501519756838906,CORN,1,Content,1,VADER
0.48632218844984804,CORN,1,Content,1,VADER
0.5319148936170213,CORN,1,Content,1,VADER
